iso_code3,iso_code2,pik_name,cait_name,ndcp_navigators_name,wri_standard_name,unfccc_group,location_type,show_in_cw
JAM,,Jamaica,Jamaica,Jamaica,Jamaica,UNFCCC Non-Annex I,COUNTRY,Yes
JOR,,Jordan,Jordan,Jordan,Jordan,UNFCCC Non-Annex I,COUNTRY,Yes
JPN,,Japan,Japan,Japan,Japan,UNFCCC Annex I,COUNTRY,Yes
KAZ,,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,UNFCCC Non-Annex I,COUNTRY,Yes
KEN,,Kenya,Kenya,Kenya,Kenya,UNFCCC Non-Annex I,COUNTRY,Yes
KGZ,,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,UNFCCC Non-Annex I,COUNTRY,Yes
KHM,,Cambodia,Cambodia,Cambodia,Cambodia,UNFCCC Non-Annex I,COUNTRY,Yes
KIR,,Kiribati,Kiribati,Kiribati,Kiribati,UNFCCC Non-Annex I,COUNTRY,Yes
KNA,,Saint Kitts and Nevis,Saint Kitts & Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,UNFCCC Non-Annex I,COUNTRY,Yes
KOR,,"Korea, Republic of","Korea, Rep. (South)",Korea (the Republic of),South Korea,UNFCCC Non-Annex I,COUNTRY,Yes
KWT,,Kuwait,Kuwait,Kuwait,Kuwait,UNFCCC Non-Annex I,COUNTRY,Yes
LAO,,Lao PDR,Laos,Lao People's Democratic Republic (the),Laos,UNFCCC Non-Annex I,COUNTRY,Yes
LBN,,Lebanon,Lebanon,Lebanon,Lebanon,UNFCCC Non-Annex I,COUNTRY,Yes
LBR,,Liberia,Liberia,Liberia,Liberia,UNFCCC Non-Annex I,COUNTRY,Yes
LBY,,Libya,Libya,Libya,Libya,UNFCCC Non-Annex I,COUNTRY,Yes
LCA,,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,UNFCCC Non-Annex I,COUNTRY,Yes
LDC,,Least Developed Countries,,Least Developed Countries (LDCs),,,GROUP,Yes
LIE,,Liechtenstein,,Liechtenstein,Liechtenstein ,UNFCCC Annex I,COUNTRY,Yes
LKA,,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,UNFCCC Non-Annex I,COUNTRY,Yes
LSO,,Lesotho,Lesotho,Lesotho,Lesotho,UNFCCC Non-Annex I,COUNTRY,Yes
LTU,,Lithuania,Lithuania,Lithuania,Lithuania,UNFCCC Annex I,COUNTRY,Yes
LUX,,Luxembourg,Luxembourg,Luxembourg,Luxembourg,UNFCCC Annex I,COUNTRY,Yes
LVA,,Latvia,Latvia,Latvia,Latvia,UNFCCC Annex I,COUNTRY,Yes
MAC,,"Macao, Special Administrative Region of China",,,,,COUNTRY,No
MAR,,Morocco,Morocco,Morocco,Morocco,UNFCCC Non-Annex I,COUNTRY,Yes
MCO,,Monaco,,Monaco,Monaco,UNFCCC Annex I,COUNTRY,Yes
